##large european countries
MOR = "countries/Morroco.txt"
MAV = "countries/Mavritania.txt"
NUB = "countries/Nybia.txt"
#eth_region
ABS = "countries/Abyssinya.txt"
SOS = "countries/Somali_sult.txt"
SOR = "countries/Somali_resp.txt"
#south_africa
MAD = "countries/Madagaskar.txt"
ZUL = "countries/Zuluses.txt"
GOT = "countries/Gottentots.txt"
BOT = "countries/Botsvana.txt"
ZIM = "countries/Zimbabve.txt"
ZAN = "countries/Zanzibar.txt"
ZAM = "countries/Zambia.txt"
SUD = "countries/Sudan.txt"
CON = "countries/Congo.txt"
SEN = "countries/Senegal.txt"
GWI = "countries/Guinea.txt"
NGW = "countries/North Guinea.txt"
MAL = "countries/Mali.txt"
KRU = "countries/Kru.txt"
MOS = "countries/Mosi.txt"
EMO = "countries/East Mosi.txt"
BNI = "countries/Benin.txt"
SOK = "countries/Sokot Emirat.txt"
LUB = "countries/Luba.txt"
KIT = "countries/Kitara.txt"
BUG = "countries/Buganda.txt"
GRI = "countries/Grikvalend.txt"
BAN = "countries/Bang-Assu.txt"
FKU = "countries/Federation of Kuba.txt"
BUR = "countries/Burundi.txt"
NGA = "countries/Ngondo.txt"
KUS = "countries/Kuseri.txt"
LUN = "countries/Lunda.txt"
AKA = "countries/Akan.txt"
KEN = "countries/Kenia.txt"
FUL = "countries/Fulani.txt"
#iberian_region
ARA = "countries/Aragone.txt"
CAS = "countries/Castilia.txt"
PRT = "countries/Portugalia.txt"
#asia_majors
QIN = "countries/Qin.txt"
JAP = "countries/Japan.txt" 
JAS = "countries/Japan Segunate.txt"
TUK = "countries/Kanto Trade Union.txt"
#qin_puppets
MAN = "countries/Manchguria.txt"
MON = "countries/Mongolia.txt"
CHN = "countries/Chinghay.txt"
YUN = "countries/Yunyan.txt"
GNS = "countries/Guansy.txt"
TIB = "countries/Tibet.txt"
SHA = "countries/Shanhay.txt"
SIC = "countries/Sichuan.txt"
SHN = "countries/Shansi.txt"
CND = "countries/Chande.txt"
HEJ = "countries/Hejeria.txt"#тип нанайцы
SDZ = "countries/Sindzyan.txt"
#asian_regon
KOR = "countries/Korea.txt"
KAZ = "countries/Kazahstan.txt"
KOK = "countries/Kokhand.txt"
HIV = "countries/Hiva.txt"
BUK = "countries/Bukchars.txt"
AFG = "countries/Afganistan.txt"
#indian_rejion
PNJ = "countries/Penjab.txt"
BEN = "countries/Bengalia.txt"
HRD = "countries/Hairadabad.txt"
MRH = "countries/Marhat.txt"
RJP = "countries/Rajaputana.txt"
MSR = "countries/Maisur.txt"
BIR = "countries/Birma.txt"
SYN = "countries/Synd.txt"
BLG = "countries/Belugistan.txt"
OIC = "countries/Ost-Indian Company"
#south_west_asia
RAT = "countries/Rattanakosin.txt"
KHM = "countries/Khmers.txt"
KAL = "countries/Kalimantan.txt"
PHI = "countries/Phillipines.txt"
VIE = "countries/Vietnam.txt"
IND = "countries/Indonesia.txt"
#australia_and_oceania
PAS = "countries/Portugues Australia.txt"
BAS = "countries/British Australia.txt"
#mesoamerikan_region
AZT = "countries/Aztek.txt"
MAY = "countries/Maya.txt"
TAR = "countries/Taraski.txt"
APA = "countries/Apalachi.txt"
KOA = "countries/Koaultek.txt"
TAI = "countries/Taino.txt"
MIS = "countries/Miskito.txt"
#north_amerika
IRK = "countries/Irokeses.txt"
MIK = "countries/Mikmaq.txt"#микмаки
CRE = "countries/Cree.txt"
CHE = "countries/Cheroke.txt"
POW = "countries/Powhatan.txt"#поухатан
DAK = "countries/Dakota.txt"
SEL = "countries/Selishi.txt"
CHI = "countries/Chickasaw.txt"
COM = "countries/Comanche.txt"
FRK = "countries/Kalifornia.txt"
CNK = "countries/Chinuki.txt"
UTA = "countries/Uta.txt"
ATU = "countries/Aleut-Tlinkitsk union.txt"
SKS = "countries/Siksikaitsitapi.txt"#Сиксикаитситапи
AID = "countries/Aidaho.txt"
INU = "countries/Inuits.txt"
TEK = "countries/Tekumse confederation.txt"
ODJ = "countries/Odjibve.txt"
ASS = "countries/Assiniboiny.txt"
HOP = "countriesa/Hopy.txt"
NAV = "countriesa/Navaho.txt"
ANA = "countriesa/Anasasi.txt"
ARP = "countriesa/Arapaho.txt"
KAY = "countriesa/Kayova.txt"
KED = "countriesa/Keddo.txt"
NEN = "countriesa/New England.txt"
KUB = "countriesa/Kuba.txt"
#south_amerika
INK = "countries/Inka.txt"
AMZ = "countries/Amazonia.txt"
JEI = "countries/Je.txt"
PAT = "countries/Patagonia.txt"
ARV = "countries/Aravahs.txt"
EMB = "countries/Embera.txt"
CHB = "countries/Chibcha.txt"


